,Date_time,Node ,Battery Current,PV sc Current,Wind Speed,Temperature,Humidity,Battery Voltage
20732,2018-08-14 23:01:57,"13,3",-14.0,-0.3,2.09,30.27,21.1,4.21
20752,2018-08-14 23:21:59,"13,3",-13.6,-0.1,1.76,29.7,22.4,4.19
20780,2018-08-14 23:50:02,"13,3",-13.4,-0.2,2.29,28.9,23.83,4.2
20786,2018-08-14 23:56:02,"13,3",-13.5,-0.2,0.85,28.83,24.26,4.19
20796,2018-08-15 00:06:03,"13,3",-13.7,-0.3,1.24,28.66,25.06,4.19
20810,2018-08-15 00:20:05,"13,3",-13.8,-0.1,0.72,28.44,25.41,4.19
20818,2018-08-15 00:28:06,"13,3",-13.8,-0.2,3.27,28.2,25.17,4.19
20820,2018-08-15 00:30:06,"13,3",-13.9,-0.1,1.96,28.28,25.21,4.19
20838,2018-08-15 00:48:08,"13,3",-13.7,0.0,1.18,27.48,27.44,4.19
20840,2018-08-15 00:50:08,"13,3",-13.6,-0.3,0.91,27.48,27.34,4.19
20846,2018-08-15 00:56:08,"13,3",-13.6,-0.1,1.37,27.14,27.49,4.18
20848,2018-08-15 00:58:09,"13,3",-13.7,-0.6,0.78,26.95,27.69,4.19
20856,2018-08-15 01:06:10,"13,3",-13.5,-0.2,1.24,26.72,27.68,4.19
20868,2018-08-15 01:18:11,"13,3",-13.6,-0.3,1.05,26.61,27.2,4.18
20880,2018-08-15 01:30:12,"13,3",-13.8,-0.2,0.07,26.9,26.9,4.19
20928,2018-08-15 02:18:18,"13,3",-13.7,-0.4,1.05,25.78,29.61,4.18
20950,2018-08-15 02:40:21,"13,3",-13.7,-0.4,1.11,25.31,28.57,4.18
20958,2018-08-15 02:48:22,"13,3",-13.5,-0.3,1.31,25.28,28.5,4.18
20968,2018-08-15 02:58:23,"13,3",-13.7,-0.3,1.05,25.36,28.18,4.18
20972,2018-08-15 03:02:23,"13,3",-13.7,-0.2,0.72,25.33,28.5,4.18
21012,2018-08-15 03:42:28,"13,3",-13.7,-0.4,1.31,23.32,33.06,4.17
21014,2018-08-15 03:44:29,"13,3",-13.6,-0.4,1.44,23.08,32.73,4.17
21016,2018-08-15 03:46:29,"13,3",-13.8,-0.2,1.18,22.84,33.16,4.17
21020,2018-08-15 03:50:29,"13,3",-13.5,-0.2,0.98,22.5,33.86,4.17
21052,2018-08-15 04:22:34,"13,3",-13.4,-0.6,1.96,22.64,32.72,4.17
21068,2018-08-15 04:38:36,"13,3",-13.7,-0.4,1.44,22.14,33.72,4.17
21094,2018-08-15 05:04:39,"13,3",-13.6,-0.1,0.91,21.96,43.61,4.17
21110,2018-08-15 05:20:41,"13,3",-13.6,-0.1,0.91,22.06,47.18,4.16
21116,2018-08-15 05:26:42,"13,3",-13.7,0.0,0.2,21.96,46.13,4.16
21118,2018-08-15 05:28:42,"13,3",-13.6,-0.5,1.31,21.92,44.95,4.16
21126,2018-08-15 05:36:44,"13,3",-13.7,-0.2,1.44,21.6,52.79,4.17
21138,2018-08-15 05:48:45,"13,3",-13.8,-0.3,0.98,21.28,57.96,4.16
21152,2018-08-15 06:02:47,"13,3",-14.0,0.1,0.78,21.37,58.94,4.16
21154,2018-08-15 06:04:47,"13,3",-13.7,-0.4,0.46,21.38,58.19,4.15
21156,2018-08-15 06:06:48,"13,3",-13.6,-0.2,0.52,21.4,57.61,4.16
21178,2018-08-15 06:28:51,"13,3",-13.9,-0.4,0.78,20.96,60.44,4.17
21180,2018-08-15 06:30:51,"13,3",-13.7,-0.1,0.85,20.94,60.58,4.16
21182,2018-08-15 06:32:51,"13,3",-13.6,-0.4,1.31,20.9,62.03,4.15
21196,2018-08-15 06:46:53,"13,3",-13.7,-0.4,1.7,20.78,63.46,4.16
21218,2018-08-15 07:08:57,"13,3",-13.8,-0.2,0.98,20.48,64.92,4.16
21230,2018-08-15 07:20:58,"13,3",-13.7,0.1,1.11,19.48,69.72,4.15
21232,2018-08-15 07:22:59,"13,3",-13.5,0.4,0.85,19.41,69.73,4.15
21240,2018-08-15 07:31:00,"13,3",-13.7,1.1,0.91,19.48,71.77,4.15
21250,2018-08-15 07:41:01,"13,3",-13.6,3.8,1.44,19.82,69.7,4.15
21252,2018-08-15 07:43:02,"13,3",-13.7,4.9,0.52,19.87,69.9,4.14
21254,2018-08-15 07:45:02,"13,3",-13.4,6.1,0.91,19.9,69.1,4.15
21260,2018-08-15 07:51:03,"13,3",-13.5,10.5,0.85,19.88,71.65,4.15
21268,2018-08-15 07:59:04,"13,3",14.0,17.3,0.33,19.67,71.86,4.15
21272,2018-08-15 08:03:05,"13,3",-13.4,21.3,0.07,19.37,73.77,4.15
21280,2018-08-15 08:11:06,"13,3",14.4,29.9,1.18,19.64,72.15,4.16
21288,2018-08-15 08:19:07,"13,3",20.8,40.1,1.05,19.91,70.85,4.16
21290,2018-08-15 08:21:07,"13,3",23.9,42.7,0.72,19.97,71.97,4.16
21300,2018-08-15 08:31:09,"13,3",36.9,56.5,-0.2,20.08,71.85,4.17
21304,2018-08-15 08:35:09,"13,3",42.3,62.2,1.18,20.17,71.46,4.17
21318,2018-08-15 08:49:11,"13,3",63.1,83.1,0.85,20.48,70.27,4.19
21334,2018-08-15 09:05:13,"13,3",87.7,108.0,1.24,20.99,70.22,4.19
21340,2018-08-15 09:11:14,"13,3",79.9,117.1,1.83,21.18,69.64,4.2
21354,2018-08-15 09:25:16,"13,3",61.1,138.2,2.35,21.76,65.6,4.21
21358,2018-08-15 09:29:16,"13,3",57.9,144.4,2.42,21.92,65.22,4.21
21368,2018-08-15 09:39:17,"13,3",50.0,159.6,1.76,22.24,63.81,4.2
21390,2018-08-15 10:01:20,"13,3",38.2,190.1,2.29,22.97,60.39,4.2
21392,2018-08-15 10:03:20,"13,3",36.9,193.3,2.81,23.04,59.86,4.21
21400,2018-08-15 10:11:21,"13,3",33.6,203.7,1.83,23.17,58.15,4.21
21410,2018-08-15 10:21:22,"13,3",30.2,217.0,0.85,23.34,56.77,4.22
21416,2018-08-15 10:27:23,"13,3",27.8,225.1,1.37,23.7,55.55,4.21
21418,2018-08-15 10:29:23,"13,3",27.2,227.9,0.98,23.84,54.45,4.21
21424,2018-08-15 10:35:23,"13,3",26.5,234.4,0.39,24.16,53.08,4.21
21446,2018-08-15 10:57:26,"13,3",20.2,260.3,1.63,25.51,46.42,4.21
21450,2018-08-15 11:01:26,"13,3",18.7,265.1,0.72,25.36,47.19,4.21
21472,2018-08-15 11:23:28,"13,3",15.2,288.1,1.44,26.57,43.36,4.22
21474,2018-08-15 11:25:28,"13,3",14.0,288.7,1.05,26.63,42.87,4.21
21476,2018-08-15 11:27:28,"13,3",14.1,291.0,0.91,26.66,43.31,4.22
21498,2018-08-15 11:49:30,"13,3",0.1,307.5,0.85,27.64,40.03,4.21
21508,2018-08-15 11:59:31,"13,3",-0.3,316.3,1.18,28.04,36.49,4.21
21516,2018-08-15 12:07:31,"13,3",-0.2,319.5,2.09,28.67,35.16,4.21
21520,2018-08-15 12:11:31,"13,3",-0.4,322.2,2.48,28.92,35.28,4.21
21526,2018-08-15 12:17:32,"13,3",-0.1,324.9,2.03,29.42,35.05,4.21
21528,2018-08-15 12:19:32,"13,3",0.2,327.0,1.44,30.01,33.87,4.22
21542,2018-08-15 12:33:33,"13,3",-0.1,333.7,0.2,30.34,31.69,4.21
21548,2018-08-15 12:39:33,"13,3",-0.3,337.6,0.59,30.7,30.36,4.21
21560,2018-08-15 12:51:34,"13,3",0.1,340.8,2.22,31.44,26.72,4.21
21574,2018-08-15 13:05:34,"13,3",-0.3,341.5,1.18,32.23,26.04,4.21
21578,2018-08-15 13:09:35,"13,3",0.0,343.3,1.44,32.85,23.94,4.22
21586,2018-08-15 13:17:35,"13,3",-0.3,344.4,2.03,33.33,23.08,4.21
21604,2018-08-15 13:35:36,"13,3",-0.1,344.6,2.81,33.89,20.49,4.21
21606,2018-08-15 13:37:36,"13,3",-0.1,343.7,4.7,34.06,19.36,4.21
21622,2018-08-15 13:53:37,"13,3",-0.3,339.5,1.31,34.15,20.13,4.21
21638,2018-08-15 14:09:37,"13,3",-0.1,339.0,2.29,35.41,18.91,4.22
21680,2018-08-15 14:51:39,"13,3",-0.2,322.2,2.16,36.64,17.67,4.21
21718,2018-08-15 15:29:40,"13,3",-0.3,298.4,2.22,37.22,17.63,4.21
21726,2018-08-15 15:37:40,"13,3",-0.2,290.3,1.24,37.32,17.02,4.21
21730,2018-08-15 15:41:40,"13,3",-0.3,286.3,0.72,37.38,17.02,4.21
21736,2018-08-15 15:47:40,"13,3",-0.2,262.5,1.57,38.42,16.53,4.21
21738,2018-08-15 15:49:40,"13,3",12.6,234.2,1.31,38.67,16.16,4.23
21776,2018-08-15 16:27:41,"13,3",20.2,44.0,1.5,38.3,15.75,4.22
21802,2018-08-15 16:53:42,"13,3",-0.3,40.6,1.7,38.7,15.15,4.21
21810,2018-08-15 17:01:42,"13,3",-0.2,39.6,0.91,38.01,15.43,4.23
21822,2018-08-15 17:13:42,"13,3",-0.4,40.2,1.44,39.75,13.95,4.22
21866,2018-08-15 17:57:42,"13,3",-0.2,96.2,1.18,39.18,14.7,4.21
21874,2018-08-15 18:05:43,"13,3",-0.2,106.1,2.09,38.27,15.13,4.21
21878,2018-08-15 18:09:43,"13,3",-0.2,103.3,2.55,38.28,15.44,4.22
21886,2018-08-15 18:17:43,"13,3",-0.1,93.2,3.0,38.78,15.39,4.23
21890,2018-08-15 18:21:43,"13,3",-0.3,87.7,2.55,38.29,15.87,4.22
21906,2018-08-15 18:37:43,"13,3",-0.5,65.3,3.46,38.29,15.91,4.21
21932,2018-08-15 19:03:43,"13,3",12.3,40.8,2.03,37.6,16.95,4.22
21934,2018-08-15 19:05:43,"13,3",13.3,38.0,3.4,37.71,16.73,4.22
21936,2018-08-15 19:07:43,"13,3",15.9,35.7,2.48,37.42,16.79,4.23
21940,2018-08-15 19:11:43,"13,3",-14.0,29.0,1.57,37.67,16.8,4.23
21944,2018-08-15 19:15:43,"13,3",16.5,28.6,1.76,37.61,16.65,4.22
21954,2018-08-15 19:25:44,"13,3",14.4,27.7,2.09,37.13,17.01,4.23
21974,2018-08-15 19:45:44,"13,3",-0.1,35.9,2.16,36.8,18.14,4.22
21978,2018-08-15 19:49:44,"13,3",-0.2,34.1,1.37,36.53,18.59,4.23
21988,2018-08-15 19:59:45,"13,3",-0.1,32.8,1.18,36.68,18.37,4.22
22008,2018-08-15 20:19:45,"13,3",10.9,19.7,2.22,36.36,18.81,4.23
22016,2018-08-15 20:27:46,"13,3",10.8,15.8,1.24,36.22,18.88,4.22
22018,2018-08-15 20:29:46,"13,3",-9.1,15.1,2.16,36.37,18.58,4.22
22026,2018-08-15 20:37:46,"13,3",11.6,15.5,1.63,36.19,19.48,4.22
22030,2018-08-15 20:41:46,"13,3",11.9,14.0,1.96,35.85,19.47,4.22
22032,2018-08-15 20:43:46,"13,3",-13.6,13.7,1.89,35.69,19.69,4.23
22036,2018-08-15 20:47:46,"13,3",-13.9,11.9,1.7,35.42,19.97,4.22
22042,2018-08-15 20:53:47,"13,3",13.1,8.8,2.29,34.96,20.55,4.22
22048,2018-08-15 20:59:47,"13,3",-13.6,7.6,2.16,34.39,21.24,4.21
22114,2018-08-15 22:05:52,"13,3",-13.8,-0.4,2.09,31.08,21.82,4.21
22126,2018-08-15 22:17:53,"13,3",-13.7,-0.4,1.76,30.74,22.1,4.21
22130,2018-08-15 22:21:53,"13,3",-13.7,-0.5,1.96,30.57,22.23,4.21
22134,2018-08-15 22:25:53,"13,3",-13.8,-0.1,3.46,30.44,22.3,4.21
22140,2018-08-15 22:31:54,"13,3",-13.6,-0.2,2.74,30.31,22.44,4.21
22142,2018-08-15 22:33:54,"13,3",-13.6,-0.4,1.5,30.24,22.66,4.21
22156,2018-08-15 22:47:55,"13,3",-13.6,-0.4,3.07,29.68,23.18,4.2
22158,2018-08-15 22:49:55,"13,3",-13.7,-0.2,3.27,29.56,23.28,4.2
22162,2018-08-15 22:53:56,"13,3",-13.7,-0.3,1.96,29.4,23.49,4.2
22164,2018-08-15 22:55:56,"13,3",-14.0,-0.2,3.53,29.37,23.53,4.21
22182,2018-08-15 23:13:58,"13,3",-13.5,-0.2,2.03,28.74,24.62,4.2
22200,2018-08-15 23:31:59,"13,3",-13.9,-0.4,1.96,28.57,24.69,4.2
22210,2018-08-15 23:42:00,"13,3",-13.4,-0.2,1.05,28.3,25.0,4.2
22224,2018-08-15 23:56:02,"13,3",-13.7,-0.3,3.59,27.83,25.22,4.19
22238,2018-08-16 00:10:03,"13,3",-13.7,-0.3,2.35,27.34,25.62,4.2
22244,2018-08-16 00:16:04,"13,3",-13.6,-0.4,1.96,27.26,25.54,4.19
22248,2018-08-16 00:20:04,"13,3",-13.6,-0.5,0.72,27.3,25.55,4.19
22254,2018-08-16 00:26:05,"13,3",-13.7,-0.2,2.16,27.13,25.53,4.19
22260,2018-08-16 00:32:06,"13,3",-13.7,-0.4,1.57,26.96,25.59,4.2
22262,2018-08-16 00:34:06,"13,3",-13.7,-0.5,2.03,26.9,25.63,4.2
22268,2018-08-16 00:40:06,"13,3",-13.6,-0.3,1.57,26.82,25.58,4.19
22282,2018-08-16 00:54:08,"13,3",-13.2,-0.1,1.44,26.74,25.65,4.2
22286,2018-08-16 00:58:08,"13,3",-13.6,0.0,1.11,26.65,25.79,4.19
22314,2018-08-16 01:26:11,"13,3",-13.7,-0.6,2.42,26.36,26.35,4.19
22318,2018-08-16 01:30:12,"13,3",-13.6,-0.1,1.57,26.13,26.66,4.19
22350,2018-08-16 02:02:16,"13,3",-13.8,-0.2,1.63,25.44,27.86,4.19
22362,2018-08-16 02:14:17,"13,3",-13.8,-0.4,1.89,25.56,28.23,4.19
22364,2018-08-16 02:16:17,"13,3",-13.7,-0.3,1.7,25.56,28.09,4.19
22366,2018-08-16 02:18:17,"13,3",-13.8,-0.2,0.26,25.57,28.16,4.18
22376,2018-08-16 02:28:19,"13,3",-13.6,-0.3,1.89,25.32,28.68,4.19
22388,2018-08-16 02:40:20,"13,3",-14.0,-0.3,1.05,24.92,29.4,4.18
22392,2018-08-16 02:44:20,"13,3",-13.6,-0.2,0.98,24.92,29.54,4.19
22408,2018-08-16 03:00:22,"13,3",-13.6,-0.2,3.0,24.65,30.37,4.18
22410,2018-08-16 03:02:22,"13,3",-13.5,-0.1,2.61,24.62,30.51,4.18
22418,2018-08-16 03:10:23,"13,3",-13.7,-0.2,1.76,24.54,30.85,4.17
22438,2018-08-16 03:30:26,"13,3",-13.7,-0.3,1.7,24.42,31.76,4.18
22442,2018-08-16 03:34:26,"13,3",-13.6,-0.6,1.76,24.41,31.83,4.18
22450,2018-08-16 03:42:27,"13,3",-13.8,-0.5,2.48,24.32,32.21,4.18
22468,2018-08-16 04:00:29,"13,3",-13.5,-0.1,2.35,23.92,33.6,4.17
22470,2018-08-16 04:02:29,"13,3",-13.7,-0.2,1.76,23.92,33.67,4.17
22478,2018-08-16 04:10:30,"13,3",-13.8,-0.3,1.83,23.98,33.82,4.17
22492,2018-08-16 04:24:32,"13,3",-13.8,-0.2,2.74,23.81,34.32,4.17
22512,2018-08-16 04:44:35,"13,3",-13.6,-0.3,1.24,23.3,35.83,4.17
22522,2018-08-16 04:54:36,"13,3",-13.7,0.0,2.09,23.18,36.3,4.17
22528,2018-08-16 05:00:37,"13,3",-13.9,-0.2,1.5,23.16,36.47,4.16
22532,2018-08-16 05:04:37,"13,3",-13.7,-0.1,1.18,23.14,36.57,4.16
22534,2018-08-16 05:06:37,"13,3",-13.8,-0.4,1.37,23.1,36.64,4.17
22560,2018-08-16 05:32:40,"13,3",-13.9,-0.2,2.03,22.55,37.78,4.17
22564,2018-08-16 05:36:41,"13,3",-13.5,-0.2,1.63,22.51,37.94,4.16
22580,2018-08-16 05:52:43,"13,3",-13.6,-0.4,2.09,22.34,38.64,4.17
22582,2018-08-16 05:54:43,"13,3",-13.5,-0.1,2.42,22.3,38.67,4.17
22594,2018-08-16 06:06:45,"13,3",-13.5,-0.3,1.24,22.19,39.26,4.17
22604,2018-08-16 06:16:46,"13,3",-13.7,-0.5,2.68,22.08,39.86,4.17
22612,2018-08-16 06:24:47,"13,3",-13.5,-0.2,2.48,22.03,40.05,4.17
22626,2018-08-16 06:38:49,"13,3",-13.7,-0.1,2.09,21.83,40.8,4.17
22628,2018-08-16 06:40:49,"13,3",-13.7,-0.3,2.68,21.81,40.9,4.16
22638,2018-08-16 06:50:51,"13,3",-13.7,-0.2,2.42,21.8,41.37,4.16
22642,2018-08-16 06:54:51,"13,3",-13.6,-0.3,2.22,21.8,41.37,4.16
22644,2018-08-16 06:56:52,"13,3",-13.7,-0.1,1.89,21.8,41.37,4.15
22648,2018-08-16 07:00:52,"13,3",-13.7,-0.3,2.61,21.81,41.57,4.15
22650,2018-08-16 07:02:52,"13,3",-13.6,-0.3,2.94,21.83,41.51,4.17
22654,2018-08-16 07:06:53,"13,3",-13.4,-0.6,1.96,21.8,41.64,4.15
22658,2018-08-16 07:10:53,"13,3",-13.8,-0.2,1.7,21.75,41.73,4.15
22664,2018-08-16 07:16:54,"13,3",-14.1,-0.4,2.81,21.74,41.73,4.15
22670,2018-08-16 07:22:55,"13,3",-13.7,0.0,3.14,21.78,41.57,4.16
22676,2018-08-16 07:28:56,"13,3",-13.8,0.1,1.89,21.77,41.36,4.16
22688,2018-08-16 07:40:57,"13,3",-13.5,1.5,2.35,21.75,41.13,4.16
22690,2018-08-16 07:42:58,"13,3",-13.8,1.6,2.74,21.74,41.09,4.16
22692,2018-08-16 07:44:58,"13,3",-13.8,2.0,1.11,21.69,41.16,4.16
22700,2018-08-16 07:52:59,"13,3",-13.6,5.1,2.68,21.7,40.89,4.15
22710,2018-08-16 08:03:00,"13,3",-13.8,17.4,2.16,21.69,40.82,4.15
22716,2018-08-16 08:09:01,"13,3",14.3,22.6,2.09,21.67,40.82,4.16
22728,2018-08-16 08:21:03,"13,3",-13.8,16.6,2.35,21.63,41.08,4.16
22742,2018-08-16 08:35:05,"13,3",36.6,56.5,3.66,21.58,41.27,4.17
22746,2018-08-16 08:39:05,"13,3",32.8,52.7,1.96,21.62,41.35,4.17
22766,2018-08-16 08:59:08,"13,3",14.4,32.9,1.96,21.54,42.0,4.17
22782,2018-08-16 09:15:10,"13,3",35.1,55.6,2.74,21.92,41.35,4.18
