,time,photovoltaic_current,wind_speed,battery_current,battery_voltage,temperature,humidity
0,0.0,-0.6,3.62,-27.28,8.39,59.01,45.71
1,300.0,-0.6,3.64,-27.25,8.39,58.95,45.97
2,600.0,-0.6,2.88,-27.5,8.39,58.86,46.11
3,900.0,-0.6,2.76,-27.09,8.39,58.84,46.23
4,1200.0,-0.23,2.52,-27.41,8.39,58.84,46.28
5,1500.0,-0.29,2.46,-27.43,8.39,58.69,46.52
6,1800.0,-0.36,2.4,-27.45,8.39,58.53,46.75
7,2100.0,-0.43,2.34,-27.48,8.39,58.38,46.99
8,2400.0,-0.5,2.28,-27.5,8.39,58.22,47.22
9,2700.0,-0.48,2.54,-27.43,8.39,57.95,47.56
10,3000.0,-0.45,2.8,-27.35,8.39,57.67,47.91
11,3300.0,-0.43,3.06,-27.28,8.39,57.4,48.25
12,3600.0,-0.4,3.32,-27.2,8.39,57.12,48.59
13,3900.0,-0.4,3.52,-27.39,8.39,56.98,48.64
14,4200.0,-0.4,3.52,-27.3,8.39,56.94,48.07
15,4500.0,-0.5,2.66,-27.3,8.39,56.9,48.12
16,4800.0,-0.4,2.82,-27.25,8.39,57.08,48.16
17,5100.0,-0.5,2.95,-27.28,8.38,57.27,48.18
18,5400.0,-0.42,2.75,-27.34,8.39,57.17,48.03
19,5700.0,-0.42,1.49,-27.32,8.39,57.08,48.57
20,6000.0,-0.58,1.67,-27.24,8.39,56.98,48.94
21,6300.0,-0.56,2.06,-27.29,8.39,56.85,49.35
22,6600.0,-0.53,2.45,-27.34,8.38,56.73,49.77
23,6900.0,-0.51,2.84,-27.39,8.38,56.6,50.18
24,7200.0,-0.44,2.69,-27.43,8.38,56.45,50.24
25,7500.0,-0.35,2.37,-27.47,8.38,56.28,50.18
26,7800.0,-0.33,2.13,-27.47,8.38,56.18,50.33
27,8100.0,-0.41,2.14,-27.39,8.38,56.17,50.77
28,8400.0,-0.45,2.52,-27.35,8.38,56.04,50.42
29,8700.0,-0.49,2.9,-27.31,8.38,55.91,50.07
30,9000.0,-0.43,3.44,-27.33,8.38,55.82,50.35
31,9300.0,-0.48,3.33,-27.46,8.38,55.7,49.89
32,9600.0,-0.59,2.96,-27.32,8.38,55.64,49.62
33,9900.0,-0.68,2.58,-27.1,8.38,55.59,49.42
34,10200.0,-0.51,2.37,-27.1,8.37,55.54,49.38
35,10500.0,-0.42,2.32,-27.32,8.38,55.56,49.14
36,10800.0,-0.46,2.16,-27.36,8.38,55.55,49.51
37,11100.0,-0.47,2.28,-27.4,8.38,55.52,49.82
38,11400.0,-0.52,2.44,-27.4,8.38,55.44,49.43
39,11700.0,-0.52,2.46,-27.17,8.37,55.02,51.1
40,12000.0,-0.41,2.77,-27.46,8.37,54.79,51.76
41,12300.0,-0.61,3.11,-27.34,8.38,54.41,51.91
42,12600.0,-0.85,2.55,-27.2,8.39,54.15,52.1
43,12900.0,-0.78,2.74,-27.2,8.38,53.81,52.76
44,13200.0,-0.72,2.93,-27.2,8.38,53.46,53.43
45,13500.0,-0.65,3.13,-27.2,8.37,53.12,54.09
46,13800.0,-0.6,3.23,-27.25,8.37,52.85,54.87
47,14100.0,-0.6,3.13,-27.4,8.37,52.77,55.79
48,14400.0,-0.55,3.09,-27.38,8.37,52.79,55.51
49,14700.0,-0.51,3.05,-27.36,8.37,52.81,55.23
50,15000.0,-0.47,3.01,-27.34,8.37,52.83,54.96
51,15300.0,-0.43,2.97,-27.31,8.37,52.86,54.68
52,15600.0,-0.44,2.82,-27.34,8.37,52.84,54.41
53,15900.0,-0.56,2.41,-27.46,8.36,52.74,54.18
54,16200.0,-0.58,2.42,-27.5,8.36,52.68,54.63
55,16500.0,-0.56,2.61,-27.5,8.36,52.63,55.38
56,16800.0,-0.53,2.81,-27.5,8.37,52.58,56.13
57,17100.0,-0.51,3.01,-27.5,8.37,52.53,56.89
58,17400.0,-0.33,2.18,-27.42,8.37,52.52,59.78
59,17700.0,-0.52,3.02,-27.24,8.37,52.43,62.55
60,18000.0,-0.68,3.74,-27.1,8.37,52.35,64.56
61,18300.0,-0.61,3.35,-27.1,8.37,52.35,64.94
62,18600.0,-0.54,2.95,-27.1,8.37,52.35,65.33
63,18900.0,-0.46,3.0,-27.48,8.37,52.39,65.1
64,19200.0,-0.67,2.78,-27.4,8.37,52.3,66.93
65,19500.0,-0.48,3.03,-27.4,8.37,52.19,68.73
66,19800.0,-0.28,3.28,-27.4,8.37,52.09,70.53
67,20100.0,-0.13,3.57,-27.4,8.37,51.97,72.56
68,20400.0,-0.5,4.19,-27.36,8.37,51.73,77.26
69,20700.0,-0.52,4.08,-27.22,8.36,51.56,78.57
70,21000.0,-0.7,2.34,-27.29,8.35,51.59,79.53
71,21300.0,-0.7,1.93,-27.21,8.35,51.62,79.49
72,21600.0,-0.7,2.16,-27.23,8.35,51.64,78.94
73,21900.0,-0.7,2.4,-27.26,8.36,51.66,78.4
74,22200.0,-0.7,2.64,-27.28,8.36,51.68,77.85
75,22500.0,-0.68,2.85,-27.3,8.36,51.7,77.33
76,22800.0,-0.53,2.62,-27.36,8.35,51.6,77.28
77,23100.0,-0.5,2.64,-27.3,8.37,51.48,78.56
78,23400.0,-0.5,2.57,-27.3,8.37,51.36,80.19
79,23700.0,-0.5,2.49,-27.3,8.36,51.23,81.82
80,24000.0,-0.5,2.42,-27.3,8.36,51.11,83.44
81,24300.0,-0.4,2.77,-27.42,8.36,51.06,83.73
82,24600.0,-0.4,2.52,-27.46,8.36,51.09,84.38
83,24900.0,-0.41,2.29,-27.5,8.36,51.11,85.04
84,25200.0,-0.8,2.63,-27.3,8.36,51.03,85.37
85,25500.0,-0.7,2.59,-27.35,8.36,50.88,84.57
86,25800.0,-0.45,2.72,-27.48,8.36,50.61,85.31
87,26100.0,-0.2,2.92,-27.42,8.36,50.34,87.53
88,26400.0,0.05,3.15,-27.33,8.35,50.07,90.09
89,26700.0,0.3,3.37,-27.24,8.35,49.8,92.65
90,27000.0,0.95,3.23,-27.25,8.35,49.78,92.95
91,27300.0,1.87,2.85,-27.33,8.35,49.93,91.74
92,27600.0,3.19,2.6,-24.67,8.35,50.06,90.8
93,27900.0,6.18,2.89,-10.76,8.36,50.13,90.92
94,28200.0,9.24,2.79,-6.15,8.37,50.16,91.23
95,28500.0,13.24,1.97,-23.0,8.35,50.01,92.47
96,28800.0,18.23,2.67,-11.44,8.36,49.84,93.9
97,29100.0,23.22,3.38,0.11,8.36,49.66,95.32
98,29400.0,28.66,3.18,0.97,8.35,49.82,94.64
99,29700.0,34.58,2.81,1.78,8.36,50.07,94.64
100,30000.0,40.93,2.75,8.71,8.36,50.18,93.63
101,30300.0,47.91,2.55,15.32,8.36,50.27,93.24
102,30600.0,54.9,2.35,21.93,8.37,50.35,92.84
103,30900.0,62.0,2.54,28.92,8.37,50.45,92.31
104,31200.0,69.3,3.39,36.52,8.38,50.56,91.56
105,31500.0,76.65,2.36,43.88,8.37,50.66,90.85
106,31800.0,84.25,2.92,51.37,8.38,50.79,90.91
107,32100.0,92.14,2.79,58.76,8.39,50.95,91.29
108,32400.0,100.0,2.86,66.28,8.39,51.11,91.56
109,32700.0,107.67,4.08,74.45,8.4,51.25,91.21
110,33000.0,115.34,4.48,70.81,8.4,51.39,90.66
111,33300.0,122.92,4.37,59.9,8.39,51.57,89.78
112,33600.0,130.34,4.53,53.1,8.4,51.81,88.6
113,33900.0,138.07,3.67,47.84,8.4,52.01,87.25
114,34200.0,145.5,4.28,43.35,8.4,52.19,86.16
115,34500.0,152.98,3.83,38.85,8.39,52.36,85.45
116,34800.0,160.19,3.58,35.49,8.39,52.56,84.12
117,35100.0,167.2,3.89,32.88,8.4,52.77,82.97
118,35400.0,174.24,4.37,29.89,8.4,52.91,83.37
119,35700.0,180.89,3.66,27.63,8.4,53.15,82.71
120,36000.0,187.91,3.44,25.69,8.41,53.27,81.83
121,36300.0,194.75,3.3,23.38,8.41,53.45,80.32
122,36600.0,201.58,3.15,21.07,8.41,53.63,78.82
123,36900.0,208.42,3.01,18.76,8.41,53.81,77.32
124,37200.0,215.05,3.02,16.89,8.41,53.94,76.46
125,37500.0,221.66,3.04,15.05,8.41,54.06,75.65
126,37800.0,228.27,3.06,13.21,8.41,54.19,74.83
127,38100.0,234.43,2.64,11.74,8.41,54.35,74.21
128,38400.0,240.27,2.53,10.48,8.41,54.62,73.11
129,38700.0,245.99,2.87,9.29,8.41,54.95,71.49
130,39000.0,251.71,3.22,8.09,8.41,55.29,69.88
